gene	pearson_correlation	pearson_pvalue	n_perturbed_cells	method
EMC3	-0.116643	1.686e-07	195	STATE_ST-HVG-Parse
ERH	0.286557	0.0	86	STATE_ST-HVG-Parse
MRPS7	-0.038949	0.0816101134	123	STATE_ST-HVG-Parse
CENPJ	0.290112	0.0	282	STATE_ST-HVG-Parse
MRPS28	0.029328	0.189839229	158	STATE_ST-HVG-Parse
SLC7A5	0.098306	1.06132e-05	378	STATE_ST-HVG-Parse
RPS27	0.351919	0.0	174	STATE_ST-HVG-Parse
SUPT6H	0.336314	0.0	288	STATE_ST-HVG-Parse
U2SURP	0.081241	0.0002758797	290	STATE_ST-HVG-Parse
GFER	0.084727	0.0001485011	222	STATE_ST-HVG-Parse
FAM136A	0.238289	0.0	50	STATE_ST-HVG-Parse
KDM8	-0.026557	0.2351718992	56	STATE_ST-HVG-Parse
C1QBP	0.180287	0.0	210	STATE_ST-HVG-Parse
DNLZ	0.008624	0.6999105811	140	STATE_ST-HVG-Parse
ZMAT2	0.105104	2.4712e-06	436	STATE_ST-HVG-Parse
RSL24D1	0.216297	0.0	179	STATE_ST-HVG-Parse
PMPCB	0.159015	0.0	553	STATE_ST-HVG-Parse
UPF3A	0.02012	0.3684747815	76	STATE_ST-HVG-Parse
RPS13	0.327455	0.0	135	STATE_ST-HVG-Parse
SUGP1	-0.021849	0.3287551701	149	STATE_ST-HVG-Parse
BTF3	0.107484	1.4517e-06	79	STATE_ST-HVG-Parse
PGD	0.118932	9.59e-08	115	STATE_ST-HVG-Parse
SNRNP200	0.254462	0.0	169	STATE_ST-HVG-Parse
BCAS2	0.110442	7.377e-07	227	STATE_ST-HVG-Parse
CACNB3	-0.02302	0.3034842014	316	STATE_ST-HVG-Parse
RAD51	0.041501	0.0635066554	241	STATE_ST-HVG-Parse
SLC39A9	0.052612	0.0186210722	752	STATE_ST-HVG-Parse
SLC1A5	0.007818	0.726767838	490	STATE_ST-HVG-Parse
NUDC	0.139496	4e-10	117	STATE_ST-HVG-Parse
URB1	0.031919	0.1535963267	33	STATE_ST-HVG-Parse
FXN	0.072961	0.0010937456	174	STATE_ST-HVG-Parse
PCF11	0.216807	0.0	499	STATE_ST-HVG-Parse
SAE1	0.09165	4.0466e-05	121	STATE_ST-HVG-Parse
SERBP1	-0.003878	0.8624028563	109	STATE_ST-HVG-Parse
ABCB7	0.150788	0.0	199	STATE_ST-HVG-Parse
PSMA3	0.135213	1.3e-09	372	STATE_ST-HVG-Parse
TFIP11	0.05405	0.0156290196	61	STATE_ST-HVG-Parse
RPS26	0.319353	0.0	87	STATE_ST-HVG-Parse
MAK16	0.203841	0.0	213	STATE_ST-HVG-Parse
ACOT12	-0.064251	0.0040458618	180	STATE_ST-HVG-Parse
TIMM23B	0.18016	0.0	498	STATE_ST-HVG-Parse
GRPEL1	0.170257	0.0	123	STATE_ST-HVG-Parse
COX7B	-0.012507	0.5761722922	120	STATE_ST-HVG-Parse
SACM1L	0.041762	0.0618626587	193	STATE_ST-HVG-Parse
EIF3A	0.250527	0.0	379	STATE_ST-HVG-Parse
METAP2	0.110309	7.608e-07	161	STATE_ST-HVG-Parse
ZCCHC9	0.24282	0.0	54	STATE_ST-HVG-Parse
VPS37A	-0.033179	0.1379909962	75	STATE_ST-HVG-Parse
LAMTOR4	0.084456	0.0001559704	136	STATE_ST-HVG-Parse
RPL37	0.219363	0.0	382	STATE_ST-HVG-Parse
RSL1D1	0.171461	0.0	211	STATE_ST-HVG-Parse
ACTL6A	0.055029	0.0138436714	55	STATE_ST-HVG-Parse
PHF5A	0.15805	0.0	231	STATE_ST-HVG-Parse
ZNHIT6	0.23219	0.0	117	STATE_ST-HVG-Parse
NUF2	0.400177	0.0	503	STATE_ST-HVG-Parse
NIP7	0.197687	0.0	279	STATE_ST-HVG-Parse
BUB3	0.131943	3.2e-09	409	STATE_ST-HVG-Parse
CDK9	0.071827	0.0013074377	140	STATE_ST-HVG-Parse
SAMM50	0.136062	1e-09	102	STATE_ST-HVG-Parse
SRBD1	0.319724	0.0	150	STATE_ST-HVG-Parse
CBLN1	0.051564	0.0211042427	214	STATE_ST-HVG-Parse
MFAP1	0.263778	0.0	197	STATE_ST-HVG-Parse
ALG2	-0.011704	0.6008879542	247	STATE_ST-HVG-Parse
PSMC2	0.191598	0.0	432	STATE_ST-HVG-Parse
CSE1L	0.187828	0.0	432	STATE_ST-HVG-Parse
