gene	pearson_correlation	pearson_pvalue	n_perturbed_cells	method
UQCRC1	0.021637	0.3334620595	316	STATE_ST-HVG-Parse
CENPN	0.012761	0.5684293509	147	STATE_ST-HVG-Parse
RAD17	-0.024454	0.2743494213	129	STATE_ST-HVG-Parse
YPEL5	0.106138	1.9639e-06	76	STATE_ST-HVG-Parse
DHODH	0.132893	2.4e-09	223	STATE_ST-HVG-Parse
CCDC86	0.200306	0.0	253	STATE_ST-HVG-Parse
LIMS1	-0.115739	2.1e-07	287	STATE_ST-HVG-Parse
NACA	0.283679	0.0	354	STATE_ST-HVG-Parse
SRP9	0.053107	0.0175379701	168	STATE_ST-HVG-Parse
TSEN34	0.04225	0.058870744	275	STATE_ST-HVG-Parse
RPS21	0.248559	0.0	75	STATE_ST-HVG-Parse
PSMC6	0.197602	0.0	151	STATE_ST-HVG-Parse
MRPL51	-0.047758	0.0327037647	111	STATE_ST-HVG-Parse
CAMLG	0.070126	0.0017009352	99	STATE_ST-HVG-Parse
ICE1	0.154101	0.0	429	STATE_ST-HVG-Parse
POLE	0.187721	0.0	168	STATE_ST-HVG-Parse
NKAP	0.152831	0.0	123	STATE_ST-HVG-Parse
RPA3	0.173746	0.0	208	STATE_ST-HVG-Parse
MAD2L1	0.018698	0.4033079743	154	STATE_ST-HVG-Parse
RBM14	0.08366	0.0001799427	228	STATE_ST-HVG-Parse
NHLRC2	0.045489	0.0419389941	91	STATE_ST-HVG-Parse
OR7A10	-0.086163	0.0001142688	38	STATE_ST-HVG-Parse
EXOSC9	0.251077	0.0	40	STATE_ST-HVG-Parse
ENO1	0.083678	0.00017936	70	STATE_ST-HVG-Parse
TSG101	0.168022	0.0	87	STATE_ST-HVG-Parse
THAP1	0.056544	0.0114337811	110	STATE_ST-HVG-Parse
TRMT10C	-0.089661	5.93618e-05	88	STATE_ST-HVG-Parse
EIF2B5	0.183295	0.0	461	STATE_ST-HVG-Parse
GET1	0.079704	0.000359838	73	STATE_ST-HVG-Parse
LTV1	0.305969	0.0	318	STATE_ST-HVG-Parse
RHPN1	0.007922	0.7232871056	225	STATE_ST-HVG-Parse
YRDC	-0.022119	0.3228195906	106	STATE_ST-HVG-Parse
JMJD6	0.084185	0.0001637814	193	STATE_ST-HVG-Parse
DDN	-0.062077	0.0054843235	249	STATE_ST-HVG-Parse
CENPT	0.055706	0.0127153955	65	STATE_ST-HVG-Parse
VPS29	0.053287	0.0171590187	165	STATE_ST-HVG-Parse
CDK2	0.031566	0.1582019776	105	STATE_ST-HVG-Parse
BCL2L1	0.006854	0.7593538761	173	STATE_ST-HVG-Parse
TACC3	0.117387	1.405e-07	132	STATE_ST-HVG-Parse
PKMYT1	-0.007616	0.7335655093	92	STATE_ST-HVG-Parse
KPNB1	0.300551	0.0	366	STATE_ST-HVG-Parse
SDAD1	0.216156	0.0	240	STATE_ST-HVG-Parse
DDX55	0.108183	1.2391e-06	163	STATE_ST-HVG-Parse
RPL7	0.274853	0.0	301	STATE_ST-HVG-Parse
SARS2	0.001991	0.9290929437	163	STATE_ST-HVG-Parse
FNTA	0.109877	8.406e-07	80	STATE_ST-HVG-Parse
SF3A1	0.166496	0.0	332	STATE_ST-HVG-Parse
CWC15	0.154163	0.0	184	STATE_ST-HVG-Parse
TKT	0.019004	0.3956542015	202	STATE_ST-HVG-Parse
RAB4A	0.027727	0.2151779532	303	STATE_ST-HVG-Parse
TBCA	-0.00281	0.9000532627	179	STATE_ST-HVG-Parse
NFATC2IP	0.012175	0.5863345265	118	STATE_ST-HVG-Parse
UFL1	-0.02519	0.2601542771	162	STATE_ST-HVG-Parse
CENPA	-0.02388	0.2857797444	76	STATE_ST-HVG-Parse
ABCE1	0.293186	0.0	249	STATE_ST-HVG-Parse
PRC1	0.022352	0.317733258	187	STATE_ST-HVG-Parse
CHMP6	0.114564	2.789e-07	624	STATE_ST-HVG-Parse
PPP1R8	-0.053155	0.0174380075	69	STATE_ST-HVG-Parse
MRPL16	-0.026112	0.2431191206	85	STATE_ST-HVG-Parse
RBX1	0.1319	3.2e-09	57	STATE_ST-HVG-Parse
SARNP	-0.036665	0.1011669561	93	STATE_ST-HVG-Parse
BRIX1	0.251103	0.0	132	STATE_ST-HVG-Parse
MRPL39	-0.036129	0.1062508449	154	STATE_ST-HVG-Parse
POLR1B	0.260408	0.0	181	STATE_ST-HVG-Parse
SRSF2	0.033498	0.1342443228	69	STATE_ST-HVG-Parse
MPHOSPH10	0.285192	0.0	43	STATE_ST-HVG-Parse
ALDOA	0.150344	0.0	78	STATE_ST-HVG-Parse
HIST1H2AE	-0.006193	0.7819367051	123	STATE_ST-HVG-Parse
MED19	0.262317	0.0	544	STATE_ST-HVG-Parse
DHDDS	0.096234	1.62495e-05	96	STATE_ST-HVG-Parse
EARS2	0.018861	0.3992062509	192	STATE_ST-HVG-Parse
NAA35	-0.029347	0.1895566136	193	STATE_ST-HVG-Parse
SMG6	-0.013009	0.5609375238	54	STATE_ST-HVG-Parse
C1QTNF4	0.009041	0.6861623526	199	STATE_ST-HVG-Parse
TRAIP	-0.030526	0.172370851	87	STATE_ST-HVG-Parse
MED6	0.278228	0.0	246	STATE_ST-HVG-Parse
MAX	0.108417	1.1748e-06	180	STATE_ST-HVG-Parse
DIS3	0.225221	0.0	43	STATE_ST-HVG-Parse
PTCD1	-0.059525	0.0077508092	267	STATE_ST-HVG-Parse
TREX2	0.291934	0.0	275	STATE_ST-HVG-Parse
TEAD3	-0.061664	0.0058050742	267	STATE_ST-HVG-Parse
HIRA	-0.013119	0.5576426983	341	STATE_ST-HVG-Parse
CSH2	0.065032	0.0036191281	179	STATE_ST-HVG-Parse
CHMP7	-0.015343	0.4928587675	240	STATE_ST-HVG-Parse
POP4	0.201062	0.0	128	STATE_ST-HVG-Parse
SDHC	0.073318	0.0010335678	104	STATE_ST-HVG-Parse
SSU72	0.130861	4.3e-09	85	STATE_ST-HVG-Parse
DDX19B	-0.033676	0.1321855038	285	STATE_ST-HVG-Parse
HARS	0.194804	0.0	289	STATE_ST-HVG-Parse
RPL24	0.240902	0.0	460	STATE_ST-HVG-Parse
COPB2	0.213446	0.0	129	STATE_ST-HVG-Parse
CCDC144A	-0.013256	0.5535258651	117	STATE_ST-HVG-Parse
DR1	-0.121736	4.73e-08	126	STATE_ST-HVG-Parse
COX11	0.070932	0.0015026517	109	STATE_ST-HVG-Parse
NBPF3	0.099653	8.0084e-06	133	STATE_ST-HVG-Parse
POLD3	0.05393	0.0158630572	68	STATE_ST-HVG-Parse
POLR2D	0.289468	0.0	281	STATE_ST-HVG-Parse
SRSF1	0.175413	0.0	159	STATE_ST-HVG-Parse
C16orf86	0.010201	0.6484492421	184	STATE_ST-HVG-Parse
DYNC1H1	0.337088	0.0	291	STATE_ST-HVG-Parse
ZNF284	0.011688	0.6014034152	218	STATE_ST-HVG-Parse
GET3	0.03342	0.1351575106	121	STATE_ST-HVG-Parse
CENPI	0.100768	6.3274e-06	42	STATE_ST-HVG-Parse
EIF4G2	0.10117	5.8073e-06	342	STATE_ST-HVG-Parse
ARCN1	0.21827	0.0	333	STATE_ST-HVG-Parse
NOS1AP	-0.052552	0.01875652	54	STATE_ST-HVG-Parse
NASP	0.029608	0.1856467128	184	STATE_ST-HVG-Parse
ZBTB11	0.061557	0.0058906707	146	STATE_ST-HVG-Parse
FBLIM1	-0.000606	0.9784074426	133	STATE_ST-HVG-Parse
SDHAF2	0.028388	0.2044402212	126	STATE_ST-HVG-Parse
XRCC2	0.025583	0.2528024018	157	STATE_ST-HVG-Parse
POLR3B	0.190485	0.0	113	STATE_ST-HVG-Parse
MYBL2	0.218673	0.0	106	STATE_ST-HVG-Parse
ZNF574	0.061124	0.0062494036	314	STATE_ST-HVG-Parse
RARS	0.158183	0.0	404	STATE_ST-HVG-Parse
EIF2S2	0.111897	5.253e-07	120	STATE_ST-HVG-Parse
RABGGTB	0.010389	0.6424144506	169	STATE_ST-HVG-Parse
FAM72D	0.051932	0.0202003662	120	STATE_ST-HVG-Parse
TAMM41	-0.000642	0.9771028757	120	STATE_ST-HVG-Parse
ZNF674	0.025895	0.247062549	126	STATE_ST-HVG-Parse
CCT6A	0.127499	1.05e-08	131	STATE_ST-HVG-Parse
TARS	0.114398	2.902e-07	132	STATE_ST-HVG-Parse
PARN	0.05043	0.0241135489	123	STATE_ST-HVG-Parse
SETD1A	0.187005	0.0	69	STATE_ST-HVG-Parse
THOC2	0.177191	0.0	190	STATE_ST-HVG-Parse
ZNF133	-0.021063	0.3464506269	102	STATE_ST-HVG-Parse
HNRNPC	0.092433	3.47259e-05	334	STATE_ST-HVG-Parse
DRAP1	-0.04909	0.0281415228	227	STATE_ST-HVG-Parse
YEATS4	-0.135802	1.1e-09	231	STATE_ST-HVG-Parse
DCTN3	-0.025804	0.2487293631	201	STATE_ST-HVG-Parse
RRP9	0.199775	0.0	110	STATE_ST-HVG-Parse
EXOSC8	0.23209	0.0	126	STATE_ST-HVG-Parse
METTL17	0.030917	0.1669320762	122	STATE_ST-HVG-Parse
SLC39A10	0.030369	0.1745878011	153	STATE_ST-HVG-Parse
TBCB	0.075702	0.0007034397	102	STATE_ST-HVG-Parse
MRPL53	-0.010828	0.6284328103	153	STATE_ST-HVG-Parse
COX15	0.079393	0.0003795067	103	STATE_ST-HVG-Parse
DNAJC19	0.190611	0.0	398	STATE_ST-HVG-Parse
WAC	0.092841	3.20549e-05	162	STATE_ST-HVG-Parse
LARS2	0.023925	0.28487131	149	STATE_ST-HVG-Parse
RPS7	0.345424	0.0	265	STATE_ST-HVG-Parse
SPATA5	0.008741	0.6960268021	70	STATE_ST-HVG-Parse
CYP4F11	-0.184825	0.0	120	STATE_ST-HVG-Parse
DNAJC8	0.044312	0.047545176	277	STATE_ST-HVG-Parse
PMF1	0.295296	0.0	265	STATE_ST-HVG-Parse
QARS	0.194904	0.0	400	STATE_ST-HVG-Parse
MED17	0.289264	0.0	151	STATE_ST-HVG-Parse
GAR1	0.158972	0.0	146	STATE_ST-HVG-Parse
NAGLU	-0.028495	0.2027360648	265	STATE_ST-HVG-Parse
KCMF1	-0.04642	0.0379137769	154	STATE_ST-HVG-Parse
KRT8	-0.045188	0.0433191881	347	STATE_ST-HVG-Parse
WBP11	0.189132	0.0	312	STATE_ST-HVG-Parse
MCM10	0.142497	2e-10	219	STATE_ST-HVG-Parse
CTDP1	0.188502	0.0	117	STATE_ST-HVG-Parse
PSMD1	0.06084	0.0064955386	281	STATE_ST-HVG-Parse
PLRG1	0.2735	0.0	94	STATE_ST-HVG-Parse
ACIN1	0.070908	0.0015082266	191	STATE_ST-HVG-Parse
GBF1	0.170771	0.0	161	STATE_ST-HVG-Parse
MED20	0.219045	0.0	80	STATE_ST-HVG-Parse
GNPNAT1	0.007578	0.7348416448	112	STATE_ST-HVG-Parse
LST1	-0.092202	3.63333e-05	149	STATE_ST-HVG-Parse
CHAF1B	0.025093	0.2620134354	84	STATE_ST-HVG-Parse
DERL2	0.201223	0.0	124	STATE_ST-HVG-Parse
OR4N2	-0.043143	0.0537195541	118	STATE_ST-HVG-Parse
KLHL11	-0.072657	0.0011476519	125	STATE_ST-HVG-Parse
HAUS3	0.051202	0.0220264085	164	STATE_ST-HVG-Parse
PTCD3	0.042179	0.0593008325	65	STATE_ST-HVG-Parse
RAD9A	-0.007419	0.7402151227	41	STATE_ST-HVG-Parse
C9orf78	-0.012299	0.5825198889	201	STATE_ST-HVG-Parse
RPL19	0.262941	0.0	238	STATE_ST-HVG-Parse
VPS54	0.126483	1.38e-08	321	STATE_ST-HVG-Parse
WDR12	0.207279	0.0	213	STATE_ST-HVG-Parse
HMGN2	0.022071	0.3238640726	107	STATE_ST-HVG-Parse
NOP2	0.249989	0.0	58	STATE_ST-HVG-Parse
NCBP1	0.165427	0.0	60	STATE_ST-HVG-Parse
NAT10	0.223236	0.0	30	STATE_ST-HVG-Parse
DMRTA2	-0.057941	0.009548747	107	STATE_ST-HVG-Parse
MED21	0.278416	0.0	63	STATE_ST-HVG-Parse
HSF1	-0.053219	0.0173021574	131	STATE_ST-HVG-Parse
DDX51	0.225965	0.0	128	STATE_ST-HVG-Parse
LRR1	0.010796	0.6294201612	122	STATE_ST-HVG-Parse
OXA1L	0.092233	3.6117e-05	344	STATE_ST-HVG-Parse
PPP1R2	-0.058077	0.0093804952	80	STATE_ST-HVG-Parse
CCDC59	0.23074	0.0	125	STATE_ST-HVG-Parse
COG3	0.096301	1.60277e-05	56	STATE_ST-HVG-Parse
NIFK	0.253239	0.0	240	STATE_ST-HVG-Parse
METTL3	0.033211	0.1376147121	138	STATE_ST-HVG-Parse
PSMB5	0.170601	0.0	270	STATE_ST-HVG-Parse
BANF1	0.027962	0.2113142014	162	STATE_ST-HVG-Parse
CD8B	-0.034372	0.1243727505	112	STATE_ST-HVG-Parse
PELO	0.104871	2.6017e-06	286	STATE_ST-HVG-Parse
HAUS4	0.223499	0.0	189	STATE_ST-HVG-Parse
FRG2	0.005701	0.7988759875	51	STATE_ST-HVG-Parse
SART3	0.086194	0.0001136343	154	STATE_ST-HVG-Parse
MVK	0.004459	0.8420359492	136	STATE_ST-HVG-Parse
GLI4	0.03148	0.1593367755	156	STATE_ST-HVG-Parse
EXOSC7	0.110469	7.331e-07	113	STATE_ST-HVG-Parse
ING3	0.004675	0.8344835043	65	STATE_ST-HVG-Parse
BCAR1	-0.053062	0.0176348649	246	STATE_ST-HVG-Parse
WDR54	-0.052716	0.0183884092	208	STATE_ST-HVG-Parse
CUL2	0.133349	2.1e-09	94	STATE_ST-HVG-Parse
RPL32	0.275523	0.0	208	STATE_ST-HVG-Parse
PRELID3B	0.169111	0.0	273	STATE_ST-HVG-Parse
NCAPG	0.020277	0.364757508	79	STATE_ST-HVG-Parse
RUVBL1	0.303474	0.0	211	STATE_ST-HVG-Parse
KIF14	0.070516	0.0016019908	118	STATE_ST-HVG-Parse
TEX10	0.15724	0.0	162	STATE_ST-HVG-Parse
GTF2E1	0.183965	0.0	181	STATE_ST-HVG-Parse
CHTF18	-0.109705	8.745e-07	97	STATE_ST-HVG-Parse
RPL30	0.255619	0.0	365	STATE_ST-HVG-Parse
RCL1	0.290075	0.0	106	STATE_ST-HVG-Parse
RBBP8	0.009509	0.6708344817	117	STATE_ST-HVG-Parse
MAT2A	0.071401	0.0013971841	52	STATE_ST-HVG-Parse
SPTSSA	-0.010714	0.6320524812	124	STATE_ST-HVG-Parse
YKT6	0.071128	0.0014576804	63	STATE_ST-HVG-Parse
LRPPRC	0.209189	0.0	110	STATE_ST-HVG-Parse
DDX54	0.193597	0.0	95	STATE_ST-HVG-Parse
CASP8AP2	-3.5e-05	0.9987629652	211	STATE_ST-HVG-Parse
KIF4A	0.010977	0.6237059236	129	STATE_ST-HVG-Parse
TIMELESS	0.097527	1.24687e-05	64	STATE_ST-HVG-Parse
E4F1	0.010395	0.6422198415	134	STATE_ST-HVG-Parse
DCTN2	0.059617	0.0076563428	126	STATE_ST-HVG-Parse
MRPL35	0.021083	0.3459894657	171	STATE_ST-HVG-Parse
ZNF24	-0.058122	0.0093257762	59	STATE_ST-HVG-Parse
USP9X	0.041943	0.0607393868	112	STATE_ST-HVG-Parse
RPS17	0.324493	0.0	223	STATE_ST-HVG-Parse
VPS25	0.052946	0.0178836733	84	STATE_ST-HVG-Parse
PSAT1	0.055961	0.0123120891	72	STATE_ST-HVG-Parse
RPL26L1	0.033284	0.1367576271	148	STATE_ST-HVG-Parse
CENPW	-0.020815	0.3521723449	72	STATE_ST-HVG-Parse
RPL36	0.274624	0.0	204	STATE_ST-HVG-Parse
GTF3C6	0.006823	0.7604127526	243	STATE_ST-HVG-Parse
SF3B5	0.228341	0.0	84	STATE_ST-HVG-Parse
RBMX2	0.208128	0.0	244	STATE_ST-HVG-Parse
EIF3D	0.158259	0.0	186	STATE_ST-HVG-Parse
CCT4	0.169512	0.0	251	STATE_ST-HVG-Parse
EIF3I	0.206266	0.0	61	STATE_ST-HVG-Parse
RNPS1	0.100563	6.6086e-06	131	STATE_ST-HVG-Parse
PPIL2	-0.080533	0.0003119965	130	STATE_ST-HVG-Parse
CDC16	0.209056	0.0	165	STATE_ST-HVG-Parse
PHB2	0.241417	0.0	415	STATE_ST-HVG-Parse
CPAMD8	-0.103504	3.5107e-06	233	STATE_ST-HVG-Parse
OVCA2	-0.016368	0.4644046128	76	STATE_ST-HVG-Parse
DCTN6	0.07353	0.0009991362	64	STATE_ST-HVG-Parse
PDRG1	0.140472	3e-10	116	STATE_ST-HVG-Parse
GINS3	0.022425	0.3161559105	100	STATE_ST-HVG-Parse
RIOK1	0.29864	0.0	326	STATE_ST-HVG-Parse
XAB2	0.19609	0.0	153	STATE_ST-HVG-Parse
EBNA1BP2	0.20734	0.0	82	STATE_ST-HVG-Parse
DHX8	0.251067	0.0	115	STATE_ST-HVG-Parse
TBCD	0.016588	0.4584461451	28	STATE_ST-HVG-Parse
ETF1	0.168889	0.0	52	STATE_ST-HVG-Parse
RPL4	0.281876	0.0	345	STATE_ST-HVG-Parse
HS6ST1	-0.1012	5.7704e-06	172	STATE_ST-HVG-Parse
ORC1	0.175543	0.0	530	STATE_ST-HVG-Parse
EIF5A	0.154537	0.0	140	STATE_ST-HVG-Parse
SF3B2	0.240207	0.0	500	STATE_ST-HVG-Parse
TRMT112	0.260846	0.0	201	STATE_ST-HVG-Parse
RTEL1	0.068832	0.002070178	140	STATE_ST-HVG-Parse
UNC45A	0.142735	1e-10	178	STATE_ST-HVG-Parse
PLEKHN1	0.013622	0.5426315069	104	STATE_ST-HVG-Parse
INTS1	-0.070757	0.0015435813	211	STATE_ST-HVG-Parse
ZFP69B	0.043672	0.0508437343	151	STATE_ST-HVG-Parse
MED18	0.139582	4e-10	20	STATE_ST-HVG-Parse
MRPS22	0.00566	0.8002920151	165	STATE_ST-HVG-Parse
NMD3	0.132392	2.8e-09	64	STATE_ST-HVG-Parse
GINS2	0.095628	1.83742e-05	148	STATE_ST-HVG-Parse
ZNF317	0.093975	2.56099e-05	132	STATE_ST-HVG-Parse
AARS2	-0.034384	0.1242473722	181	STATE_ST-HVG-Parse
MOB4	0.035115	0.1164375097	118	STATE_ST-HVG-Parse
UXT	0.175281	0.0	215	STATE_ST-HVG-Parse
TTC4	-0.010884	0.6266414523	108	STATE_ST-HVG-Parse
USP37	-0.009658	0.6659977436	77	STATE_ST-HVG-Parse
ACTR8	0.110312	7.602e-07	252	STATE_ST-HVG-Parse
EXOSC2	0.269193	0.0	226	STATE_ST-HVG-Parse
EDC4	0.023329	0.2970382571	166	STATE_ST-HVG-Parse
PSMG1	0.030169	0.1774470657	109	STATE_ST-HVG-Parse
MRPS2	0.031929	0.1534672529	109	STATE_ST-HVG-Parse
ESPL1	0.191224	0.0	120	STATE_ST-HVG-Parse
CCDC78	-0.003937	0.8603262305	142	STATE_ST-HVG-Parse
MRPL33	-0.02189	0.3278532326	150	STATE_ST-HVG-Parse
CCDC144NL	-0.023041	0.3030485809	87	STATE_ST-HVG-Parse
ZNF100	0.051245	0.0219167657	95	STATE_ST-HVG-Parse
MIPEP	-0.115433	2.262e-07	90	STATE_ST-HVG-Parse
MRPS10	0.019018	0.3952837288	121	STATE_ST-HVG-Parse
HAUS7	0.015674	0.4835831523	239	STATE_ST-HVG-Parse
TARS2	-0.061485	0.0059493994	74	STATE_ST-HVG-Parse
ALG1L	0.053292	0.0171490666	216	STATE_ST-HVG-Parse
POTEI	-0.096537	1.52756e-05	126	STATE_ST-HVG-Parse
ALG13	0.039449	0.077768214	170	STATE_ST-HVG-Parse
CPSF3	0.097723	1.19749e-05	627	STATE_ST-HVG-Parse
PCID2	-0.046018	0.0396112017	307	STATE_ST-HVG-Parse
PGS1	0.015877	0.4779194295	104	STATE_ST-HVG-Parse
DDX10	0.244622	0.0	104	STATE_ST-HVG-Parse
AATF	0.317316	0.0	298	STATE_ST-HVG-Parse
UROD	0.023753	0.2883569598	201	STATE_ST-HVG-Parse
ERCC3	0.08517	0.0001370357	163	STATE_ST-HVG-Parse
CCNK	0.087127	9.5621e-05	327	STATE_ST-HVG-Parse
RBM42	0.047012	0.0355290547	79	STATE_ST-HVG-Parse
CWC25	-0.064512	0.0038985317	149	STATE_ST-HVG-Parse
CDC40	0.224301	0.0	107	STATE_ST-HVG-Parse
POLR1A	0.226458	0.0	127	STATE_ST-HVG-Parse
HECTD1	-0.039558	0.0769452602	130	STATE_ST-HVG-Parse
SRF	-0.092509	3.42181e-05	123	STATE_ST-HVG-Parse
UBAP1	0.127041	1.19e-08	104	STATE_ST-HVG-Parse
TOP1	0.137312	7e-10	123	STATE_ST-HVG-Parse
SPRTN	0.046684	0.0368343443	139	STATE_ST-HVG-Parse
RPL23A	0.244434	0.0	99	STATE_ST-HVG-Parse
PPP1R11	-0.016937	0.4490271807	77	STATE_ST-HVG-Parse
POLR2I	0.252679	0.0	223	STATE_ST-HVG-Parse
NFYB	0.006538	0.7701382041	28	STATE_ST-HVG-Parse
RPF2	0.150839	0.0	68	STATE_ST-HVG-Parse
RPS15A	0.33554	0.0	314	STATE_ST-HVG-Parse
SF3B3	0.234787	0.0	381	STATE_ST-HVG-Parse
SMC2	0.299406	0.0	134	STATE_ST-HVG-Parse
MYC	0.078903	0.0004124838	74	STATE_ST-HVG-Parse
SEC16A	0.080914	0.0002920247	153	STATE_ST-HVG-Parse
SEC61G	0.173352	0.0	98	STATE_ST-HVG-Parse
NLE1	0.226179	0.0	413	STATE_ST-HVG-Parse
DHX36	0.11702	1.537e-07	269	STATE_ST-HVG-Parse
MIS12	0.107168	1.5587e-06	82	STATE_ST-HVG-Parse
HIST1H2BN	-0.020593	0.3573267162	107	STATE_ST-HVG-Parse
YTHDC1	0.15941	0.0	237	STATE_ST-HVG-Parse
MARS2	0.054258	0.0152333621	75	STATE_ST-HVG-Parse
PLA2G10	-0.016319	0.4657689631	202	STATE_ST-HVG-Parse
TRAPPC4	0.029521	0.1869451106	196	STATE_ST-HVG-Parse
SNW1	0.161693	0.0	226	STATE_ST-HVG-Parse
NUP85	0.137426	7e-10	111	STATE_ST-HVG-Parse
MRPL54	0.025919	0.2466188073	142	STATE_ST-HVG-Parse
WDHD1	-0.040388	0.0709491745	182	STATE_ST-HVG-Parse
PAF1	0.170254	0.0	238	STATE_ST-HVG-Parse
MBTPS1	-0.023503	0.2934553623	68	STATE_ST-HVG-Parse
SPTLC1	-0.081564	0.0002607476	28	STATE_ST-HVG-Parse
GEMIN8	0.021211	0.3430705965	86	STATE_ST-HVG-Parse
USP7	0.035331	0.1142134368	276	STATE_ST-HVG-Parse
PSMD12	0.185785	0.0	265	STATE_ST-HVG-Parse
PTPMT1	-0.043415	0.0522240326	183	STATE_ST-HVG-Parse
POLRMT	0.192978	0.0	214	STATE_ST-HVG-Parse
DCUN1D5	0.113469	3.624e-07	183	STATE_ST-HVG-Parse
PSMD6	0.189726	0.0	555	STATE_ST-HVG-Parse
AURKA	0.194381	0.0	58	STATE_ST-HVG-Parse
NDUFB8	0.059576	0.0076980642	193	STATE_ST-HVG-Parse
PFDN1	0.058642	0.0087120077	34	STATE_ST-HVG-Parse
DHX16	0.21618	0.0	328	STATE_ST-HVG-Parse
LETM1	0.143869	1e-10	124	STATE_ST-HVG-Parse
LRRC37B	-0.034056	0.1278780699	109	STATE_ST-HVG-Parse
NDUFB3	-0.070383	0.0016351062	141	STATE_ST-HVG-Parse
PSMB3	0.129184	6.7e-09	31	STATE_ST-HVG-Parse
RANGAP1	0.116564	1.718e-07	130	STATE_ST-HVG-Parse
URB2	0.172512	0.0	198	STATE_ST-HVG-Parse
UBE2M	0.022551	0.3134539425	177	STATE_ST-HVG-Parse
MMS22L	0.125274	1.9e-08	57	STATE_ST-HVG-Parse
BOP1	0.112875	4.172e-07	253	STATE_ST-HVG-Parse
CLTC	0.166388	0.0	157	STATE_ST-HVG-Parse
SMAGP	0.018533	0.4074620008	117	STATE_ST-HVG-Parse
DDX56	0.240513	0.0	174	STATE_ST-HVG-Parse
MRPL45	-0.043111	0.0538932942	179	STATE_ST-HVG-Parse
NOL8	0.1458	1e-10	79	STATE_ST-HVG-Parse
FCF1	0.293539	0.0	231	STATE_ST-HVG-Parse
VARS2	-0.032746	0.1432199627	126	STATE_ST-HVG-Parse
LSM4	0.159147	0.0	84	STATE_ST-HVG-Parse
NAA10	0.074429	0.0008650114	137	STATE_ST-HVG-Parse
TBC1D28	-0.045407	0.0423136912	78	STATE_ST-HVG-Parse
IGBP1	0.246887	0.0	281	STATE_ST-HVG-Parse
SNRNP27	0.138116	6e-10	47	STATE_ST-HVG-Parse
SRP54	0.165517	0.0	81	STATE_ST-HVG-Parse
CRCP	0.039324	0.0787116662	160	STATE_ST-HVG-Parse
ESPN	-0.019524	0.3828454316	421	STATE_ST-HVG-Parse
SMU1	0.268391	0.0	155	STATE_ST-HVG-Parse
TUBE1	-0.051534	0.021180708	134	STATE_ST-HVG-Parse
TBCE	0.068973	0.0020264194	129	STATE_ST-HVG-Parse
TUT1	0.077279	0.0005421172	208	STATE_ST-HVG-Parse
GFM1	-0.009748	0.6630837917	240	STATE_ST-HVG-Parse
ACTR1A	-0.071908	0.0012909716	143	STATE_ST-HVG-Parse
SPDYE2	-0.072726	0.0011351466	182	STATE_ST-HVG-Parse
MANF	-0.061255	0.0061386353	142	STATE_ST-HVG-Parse
DNAJA3	0.107484	1.4515e-06	127	STATE_ST-HVG-Parse
ACTB	0.048727	0.02932637	168	STATE_ST-HVG-Parse
SNRNP25	0.141066	2e-10	135	STATE_ST-HVG-Parse
HMGCR	0.031259	0.1622871608	166	STATE_ST-HVG-Parse
NSL1	0.123838	2.76e-08	72	STATE_ST-HVG-Parse
TMX2	0.199686	0.0	109	STATE_ST-HVG-Parse
NDUFS3	-0.009868	0.6591717005	112	STATE_ST-HVG-Parse
TLN1	0.011401	0.6103462577	87	STATE_ST-HVG-Parse
POLR2E	0.232608	0.0	225	STATE_ST-HVG-Parse
CDC42	-0.089388	6.2523e-05	70	STATE_ST-HVG-Parse
PCBP2	0.025334	0.2574521303	172	STATE_ST-HVG-Parse
EIF5	0.077323	0.0005381237	175	STATE_ST-HVG-Parse
OR1E2	-0.11717	1.481e-07	32	STATE_ST-HVG-Parse
OR2A1	-0.001177	0.9580404758	188	STATE_ST-HVG-Parse
CCT3	0.155368	0.0	234	STATE_ST-HVG-Parse
TAF7	0.160624	0.0	94	STATE_ST-HVG-Parse
MRPL24	-0.000394	0.9859553576	193	STATE_ST-HVG-Parse
SNRPD1	0.25456	0.0	146	STATE_ST-HVG-Parse
PHB	0.248752	0.0	256	STATE_ST-HVG-Parse
INTS5	0.107128	1.5729e-06	64	STATE_ST-HVG-Parse
AURKAIP1	0.049518	0.0267939083	76	STATE_ST-HVG-Parse
KCTD10	0.150529	0.0	76	STATE_ST-HVG-Parse
TRAPPC11	0.091424	4.22811e-05	110	STATE_ST-HVG-Parse
URM1	-0.023639	0.2906698287	123	STATE_ST-HVG-Parse
C17orf58	-0.023801	0.2873681486	58	STATE_ST-HVG-Parse
EXOC2	-0.020199	0.3666132092	88	STATE_ST-HVG-Parse
MRPL43	0.052931	0.0179180261	95	STATE_ST-HVG-Parse
SBNO1	-0.087676	8.63332e-05	183	STATE_ST-HVG-Parse
PDCD6	-0.049711	0.0262064748	203	STATE_ST-HVG-Parse
PRMT1	-0.116286	1.839e-07	58	STATE_ST-HVG-Parse
CHCHD2	0.007066	0.7521441579	90	STATE_ST-HVG-Parse
JAZF1	0.083966	0.0001703548	209	STATE_ST-HVG-Parse
CAP1	0.051529	0.0211920775	26	STATE_ST-HVG-Parse
DRG1	-0.055456	0.0131228706	196	STATE_ST-HVG-Parse
HYPK	0.150602	0.0	121	STATE_ST-HVG-Parse
