gene	pearson_correlation	pearson_pvalue	n_perturbed_cells	n_downstream	n_upstream	method
TBP	0.011686	0.9610019979	151	6	8	GRN_Propagation
TFDP1	0.463791	0.0394197175	163	8	2	GRN_Propagation
SNF8	0.698793	0.0006087487	132	0	1	GRN_Propagation
TFRC	0.480709	0.0319119138	57	0	4	GRN_Propagation
GTF2B	0.0	1.0	35	0	1	GRN_Propagation
PLK4	0.0	1.0	32	0	1	GRN_Propagation
TFAM	0.139237	0.5582402547	82	0	1	GRN_Propagation
NCL	0.820125	9.5501e-06	298	0	1	GRN_Propagation
HDAC3	0.111307	0.6403683018	60	7	1	GRN_Propagation
U2AF2	0.0	1.0	107	0	2	GRN_Propagation
PGK1	0.666967	0.00131781	33	0	2	GRN_Propagation
DAP3	0.644829	0.0021434964	162	0	2	GRN_Propagation
SETDB1	0.0	1.0	124	0	1	GRN_Propagation
BRD4	0.316882	0.173425587	116	0	1	GRN_Propagation
BRIP1	0.253825	0.2802054812	132	2	1	GRN_Propagation
IMPDH2	0.426289	0.0608966249	77	0	4	GRN_Propagation
RPLP0	0.614776	0.0039198309	184	0	1	GRN_Propagation
CDC73	0.0	1.0	171	0	1	GRN_Propagation
XRCC1	0.286308	0.2210330542	254	0	1	GRN_Propagation
NDC80	0.0	1.0	214	0	2	GRN_Propagation
SRCAP	0.0	1.0	194	1	0	GRN_Propagation
GABPA	0.0	1.0	110	3	2	GRN_Propagation
GATA1	0.292888	0.210132664	108	31	6	GRN_Propagation
GTF2A1	0.033222	0.8894135231	113	1	0	GRN_Propagation
RPA2	0.152958	0.5196999392	225	0	1	GRN_Propagation
TAF12	0.0	1.0	67	0	1	GRN_Propagation
CEBPZ	0.38639	0.0924109833	113	2	0	GRN_Propagation
KDM2A	0.0	1.0	117	0	2	GRN_Propagation
RPS3A	0.655035	0.0017210229	160	0	2	GRN_Propagation
WDR5	0.051713	0.8285805479	78	1	0	GRN_Propagation
BRCA1	0.475919	0.0339132102	104	30	26	GRN_Propagation
RACGAP1	0.0	1.0	175	0	2	GRN_Propagation
MCM5	0.532991	0.0155303842	90	1	1	GRN_Propagation
PSMD3	0.565003	0.0094373171	64	0	1	GRN_Propagation
TAF1	0.346084	0.1349877815	97	2	0	GRN_Propagation
COPS5	0.49985	0.0248196386	98	2	2	GRN_Propagation
RRM1	0.0	1.0	103	0	2	GRN_Propagation
TTF2	0.430892	0.057866739	68	1	0	GRN_Propagation
TINF2	0.0	1.0	76	0	1	GRN_Propagation
ILF3	0.537335	0.0145551728	138	1	1	GRN_Propagation
DHX9	0.504453	0.0233161311	92	0	1	GRN_Propagation
RBMX	0.48295	0.0310082562	147	5	0	GRN_Propagation
HCFC1	-0.198925	0.4004660851	55	2	2	GRN_Propagation
POLD1	0.0	1.0	212	0	1	GRN_Propagation
GTF3C2	0.322535	0.1654600459	114	0	1	GRN_Propagation
SP2	0.0	1.0	118	3	0	GRN_Propagation
HLA-C	0.0	1.0	44	0	1	GRN_Propagation
UBE2I	0.391839	0.0875192324	64	0	1	GRN_Propagation
GAPDH	0.917277	1.27e-08	183	0	2	GRN_Propagation
UPF2	0.0	1.0	154	1	0	GRN_Propagation
TOP2A	0.502602	0.0239119904	38	0	4	GRN_Propagation
PKM	0.602436	0.0049381673	149	0	1	GRN_Propagation
CENPH	0.397921	0.082288242	63	0	2	GRN_Propagation
HMGCS1	0.712814	0.0004198033	230	0	1	GRN_Propagation
CTCF	0.329001	0.1566613985	68	12	3	GRN_Propagation
SKP2	0.333344	0.1509364008	202	0	6	GRN_Propagation
ATP2A2	0.596704	0.0054803915	158	0	4	GRN_Propagation
BARD1	0.247609	0.2925498158	140	0	1	GRN_Propagation
POLE2	0.0	1.0	56	0	2	GRN_Propagation
CDC5L	0.0	1.0	99	1	0	GRN_Propagation
ELL	-0.163958	0.489738603	83	3	1	GRN_Propagation
TAF1B	0.0	1.0	94	0	1	GRN_Propagation
ATF4	0.461064	0.0407481896	72	13	1	GRN_Propagation
HDAC7	-0.107354	0.6523548441	171	4	2	GRN_Propagation
NFYC	-0.259856	0.2685413937	23	7	0	GRN_Propagation
SIN3A	-0.02968	0.9011474173	307	1	1	GRN_Propagation
SCD	0.483085	0.030954263	24	0	1	GRN_Propagation
TTK	0.0	1.0	199	0	1	GRN_Propagation
PCNA	0.228092	0.3334387796	132	0	13	GRN_Propagation
RAC1	0.845312	2.7082e-06	194	0	1	GRN_Propagation
ECT2	0.184382	0.4364548879	55	0	2	GRN_Propagation
HINFP	0.0	1.0	160	1	2	GRN_Propagation
