gene	bimodality_coeff	ashman_d	mean_expr	std_expr	frac_nonzero	circuit_class
LINC01409	0.8891282252393288	5.220866693147261	0.08349312528727852	0.23784157769035302	0.1177626040594893	
LINC01128	0.825121487707411	4.8286852319003595	0.1664708678216881	0.323442577394124	0.22738752221494715	
NOC2L	0.4702803710574392	2.698150126479623	0.9685158163419556	0.5551957415637873	0.8333177438967355	
KLHL17	0.8864493351966694	5.168506267540102	0.08172789439341695	0.23175649709866813	0.11888504349452811	
HES4	0.8280266638047309	4.727686560416279	0.15458053484975984	0.3181975865992395	0.20802544196052755	
ISG15	0.7523918770101093	4.430053942738916	0.19963977546092837	0.3551229120756914	0.2646150968104013	
SDF4	0.5270820880385223	3.225361844140454	0.5883661655256465	0.5134209737079805	0.6349265737536245	
B3GALT6	0.8008658728074188	4.6669700656907915	0.19008071786368128	0.3424704836087075	0.2571321672434758	
UBE2J2	0.5520732160194871	3.424110531979016	0.5488755829753846	0.497014128815463	0.6097652230848377	
ACAP3	0.885365409351454	5.242448372481572	0.09093327377523093	0.2450642250380248	0.12982882798615658	
PUSL1	0.7661974777829947	4.712553671729994	0.2494490572240847	0.3801184273363305	0.32812646150968106	
INTS11	0.6719933776894651	4.459885210109358	0.3439549675118759	0.42899331437517885	0.43064259657655973	
DVL1	0.8398926302761044	4.923133836172615	0.15168035288294165	0.3081646773334008	0.2111121504068843	
MXRA8	0.8510675994046838	4.806483789079554	0.11358825424269939	0.2751937761845482	0.15817042372088672	
AURKAIP1	0.39659623202521105	2.2152682255345613	2.0053285295921808	0.44756525912462775	0.9913010943784492	I
CCNL2	0.5943138158518424	4.144988075607332	0.4452352435685351	0.4739427470232403	0.5211860443363577	
MRPL20-AS1	0.7822908888150335	4.787662655277174	0.22424334694789025	0.362813602881766	0.30053315873164343	
MRPL20	0.4483232290802962	2.3664706601501186	1.4086886686537707	0.543303429995591	0.941071929660462	
ATAD3B	0.6528828969087611	4.331084317358185	0.3849437567924276	0.4552759448378214	0.4613226078009541	
ATAD3A	0.5138761183532	3.0451187434685014	0.6810774778757909	0.5340079881287483	0.689645496211767	
SSU72	0.4452498777149031	2.472031144515538	1.2922329074351884	0.5545329131136654	0.9234870451781872	I
FNDC10	0.7956107586576306	4.548349450722595	0.1935229169324092	0.3506841930180637	0.256009727808437	
MIB2	0.86689132608752	4.948591341153599	0.11516812884979942	0.27857347658983567	0.15788981386212703	
CDK11B	0.7806678063978105	4.694066357663007	0.2038579803974204	0.35247573058581333	0.2734075390515387	
SLC35E2B	0.8847881421474285	5.357832264456763	0.07853328707566197	0.2283025939236562	0.11317930969974745	
CDK11A	0.7975047513915839	4.759768508859657	0.19809013707860482	0.3485912556763865	0.2656439996258535	
NADK	0.725099041726673	4.499141770256634	0.2912980957148826	0.4060147352542211	0.37339818538958003	
GNB1	0.46719027567265775	2.80943178005151	0.8046904312135886	0.5378872321185862	0.7689645496211767	
FAAP20	0.5347743700502913	3.160367318764205	0.6318965620547805	0.5186067829819727	0.6643906089233935	
SKI	0.8656147583748667	5.125338019889521	0.09515186099655241	0.2492897240183761	0.13684407445514918	
RER1	0.48051713098138266	2.726080060760309	0.9104041452022114	0.5498316210972678	0.8094659059021607	
WRAP73	0.827812172818099	4.981731754847894	0.16281281085908697	0.3176961071691237	0.22476849686652325	
SMIM1	0.869913723759171	5.026975682116134	0.0668730732367047	0.21324608728264463	0.0966233280329249	
LRRC47	0.6645511468393852	4.397693642292707	0.3434140593306546	0.4312277421413428	0.42821064446730894	
CEP104	0.7785245145330627	4.667668176527431	0.21927475832289509	0.36312025776337226	0.29174071649050604	
DFFB	0.872731212558071	5.040514744207877	0.09974193852345861	0.2562850059204179	0.14189505191282387	
C1orf174	0.742136962557202	4.480515148980106	0.2640735052580636	0.3947118687374304	0.3400056121971752	
RPL22	0.22348460264204684	2.266004009074623	2.958725654069821	0.307306147490139	0.9995323169020671	
ICMT	0.6439428026371403	4.281696328053723	0.3887667749017163	0.4558343238643849	0.46702834159573475	
ACOT7	0.6889406752954728	4.459481332563826	0.34959968085556076	0.4348748475547054	0.43204564587035826	
NOL9	0.6618972125199194	4.415345212005101	0.3674887984642552	0.4379887511420099	0.45552333738658685	
ZBTB48	0.8809162403613864	5.207689632576859	0.09180766713302961	0.2451436888847248	0.1320737068562342	
KLHL21	0.8202563866655642	4.6650503982100044	0.16268360683025515	0.32283707022675545	0.2211205687026471	
PHF13	0.805959127238425	4.743096187094595	0.17952268253641523	0.33602206752739466	0.24179216163127865	
THAP3	0.8524171528411092	4.9362038107578625	0.1282130585116131	0.2878663856518098	0.17912262650827798	
DNAJC11	0.6957219252378628	4.41458970203836	0.3289988488192367	0.4260112805327913	0.4119352726592461	
CAMTA1	0.5250036211223782	3.173415169357475	0.6266220633746524	0.5215822480896906	0.6578430455523337	
VAMP3	0.7760748104661999	4.62644003592597	0.23220712112226483	0.3731666638914179	0.30520998971097185	
PER3	0.8744851139045476	5.1656500288506315	0.09569367454965315	0.25163636132137857	0.13581517163969695	
PARK7	0.3768799834775383	2.1642253865382646	2.1682813253075963	0.4158553857206981	0.9942942662052193	
RERE	0.7037964039694606	4.350900561810206	0.29377487318101075	0.4113171356955781	0.3734917220091666	
ENO1	0.3176769956640368	2.087253897454812	2.8483384920671635	0.3696749616090836	0.9983163408474418	I
SLC25A33	0.5649107511416064	3.5621568022604797	0.5293455084104621	0.49949386076012275	0.5881582639603404	
TMEM201	0.8870644323795378	5.202777886557807	0.08701078057659437	0.2387594053331144	0.1259002899635207	
PIK3CD	0.8771542807248947	5.02792076132978	0.07765227289733208	0.22769481015695936	0.1124310167430549	
PIK3CD-AS2	0.8808406882594877	5.221879549329073	0.1099071467696512	0.2678176361730005	0.1547095687961837	
CLSTN1	0.7859333361979406	4.714546926939977	0.21340652804080965	0.3575384853998126	0.2863155925544851	
CTNNBIP1	0.750889389766085	4.639975717830251	0.26147416980094856	0.3877746736360594	0.34159573473014687	
LZIC	0.587270387688071	3.8715083924503957	0.477648690509144	0.4815107386167269	0.5517725189411654	
NMNAT1	0.8614705655373663	4.957955306853333	0.1070966111462245	0.2663480750520269	0.15050042091478813	
UBE4B	0.7164033903793083	4.439901253455067	0.2957855758960309	0.41006645983485174	0.37695257693386963	
KIF1B	0.7185936637744846	4.40103477198832	0.28818536995160815	0.41065714654210955	0.3640445234309232	
PGD	0.46270536721063016	2.7590606844681784	0.8385697476877821	0.5390318053910885	0.7868300439622112	
CENPS	0.7763609123057346	4.663544809451668	0.23048368632445956	0.36957726310544575	0.30577120942849123	
DFFA	0.552497403338486	3.5435736066052654	0.5339909313144791	0.5014627883819421	0.5908708259283509	
PEX14	0.8423655892989871	4.899928447849214	0.12804124851338172	0.2857993315438579	0.18108689551959592	
TARDBP	0.48396073871726714	2.8718416912530396	0.7525472503653657	0.5342496917654532	0.7416518567018988	
SRM	0.47234536949473593	2.1815834846656283	1.7940933828838805	0.5287115191617296	0.9721260873632027	
EXOSC10	0.60021414324711	4.017452436741114	0.4757028428797847	0.48135100881455356	0.5465344682443176	
MTOR	0.7224348274274643	4.530136037163241	0.2936110505459534	0.4057727363133511	0.37713965017304274	
UBIAD1	0.8256832869673022	4.897334732797849	0.17669550782842547	0.3298990569699301	0.24151155177251893	
FBXO6	0.8501858868796623	5.083160619358243	0.13581488849853499	0.29292839042252783	0.19062763071742586	
MAD2L2	0.5271393333137464	3.2250644982849277	0.6051229810506882	0.5195454732703959	0.6432513328968291	
AGTRAP	0.6211388015928757	4.27031794870455	0.4321264085834139	0.4721632936217443	0.5059395753437471	
MTHFR	0.8193068896399434	4.759045284689584	0.16945513305839802	0.3258321502516895	0.2316902067159293	
CLCN6	0.8624716858900997	4.954724670212286	0.08586449230156071	0.24051560968955296	0.12225236179964456	
KIAA2013	0.6628839392054203	4.42170575176796	0.36707410316397304	0.44163178584360324	0.4503788233093256	
PLOD1	0.8657075577015315	5.071182431305525	0.1149636897943642	0.2718540939384017	0.16350201103732112	
MFN2	0.7699403783183463	4.589382554188984	0.23246363298879422	0.3700827129695581	0.30979328407071366	
MIIP	0.7406847944401885	4.667838558738077	0.2771493833505033	0.39398032826850427	0.3614254980824993	
VPS13D	0.8329059282437489	4.906297535621489	0.13892550226956005	0.29602270785276674	0.1954915349359274	
DHRS3	0.8890698082880654	5.067052459649171	0.07345914241371826	0.223227276490871	0.10532223365447572	
PRDM2	0.6250759455106929	4.2559250751048525	0.3972502778406892	0.4563289590169568	0.47872041904405577	
EFHD2	0.7127423802551259	4.489518000740874	0.29768380629539365	0.41120800657838397	0.37798147974932184	
DNAJC16	0.824491913840939	4.814525101848092	0.16192242448410216	0.3195248345463369	0.2219623982789262	
DDI2	0.6104026498253066	4.192813126196246	0.4421861853441395	0.47333691184959004	0.5174445795528949	
PLEKHM2	0.7699769558153544	4.677386637487314	0.22890640477708282	0.36723333197794866	0.30539706295014496	
UQCRHL	0.7480963589355714	4.641523371769322	0.2631772013035682	0.38719644983714585	0.3453371995136096	
AL450998.2	0.8961312434449649	5.119036404136836	0.0688703165900372	0.21791171543775437	0.0977457674679637	
SPEN	0.4354995669829262	2.764281587010981	0.8886873136302629	0.5679352248953696	0.7993639509868113	
ZBTB17	0.8702197599254586	4.939269019499233	0.09167807111302706	0.2463625607940534	0.13160602375830138	I
FBXO42	0.8472892807160185	4.965430146748287	0.13216522102971445	0.2906880876545913	0.18520250678140493	
SZRD1	0.5483777434835846	3.450040613582751	0.5440103153562835	0.4964566599079791	0.6058366850622019	
NECAP2	0.6641490271387205	4.282523729495649	0.34105070296242573	0.43513733989099407	0.42203722757459544	
NBPF1	0.7968623385889856	4.5924025270784785	0.204094929447346	0.3552192374591533	0.27172387989898045	
ATP13A2	0.8508393868153867	4.923009504481224	0.12280269916280376	0.2818038786413398	0.17276213637639135	
SDHB	0.5440969491515758	3.3513718022477503	0.5668010966631273	0.5070138060890481	0.6182770554672155	
RCC2	0.4887578365950784	2.927697905234021	0.7066820378953469	0.5316864703066959	0.7138714806846881	
UBR4	0.6215036881105176	4.261447896004729	0.42290413678346994	0.46631015028114475	0.5011692077448321	
EMC1	0.7531092872723992	4.590710580389997	0.24380556290449107	0.3788567525585181	0.3206435319427556	
MRTO4	0.45485213917716055	2.460667312375475	1.2131602107273396	0.5475035693289557	0.9081470395659901	
AKR7A2	0.581549820662626	3.8417888136353495	0.49207648650212027	0.4882048111637331	0.559442521747264	
CAPZB	0.44750296341498375	2.7104067759956996	0.8609060418929819	0.5417462226521909	0.7964643157796277	I
MICOS10	0.41019027219959675	2.292008921643472	1.6240957809248333	0.4900052861639948	0.9737162098961744	
OTUD3	0.8580689772870501	4.788545631539348	0.10488628913089408	0.2640564696809452	0.14816200542512395	
CAMK2N1	0.8926589687725331	4.9866557140319285	0.06546403415133817	0.21512317253284938	0.0915723505752502	
MUL1	0.8825931940640648	5.121286254888058	0.09457354552512873	0.2486675321849681	0.13600224487887008	
DDOST	0.501347781818957	3.006266799382996	0.6619720634630257	0.5224335232544326	0.6886165933963146	I
HP1BP3	0.4623057419774594	2.813960651855091	0.8574708161054795	0.5572710046319274	0.7846787017117202	
EIF4G3	0.5745359696182497	3.9588754675404543	0.47012989330191185	0.4878819885723312	0.5370872696660742	
USP48	0.5241815453489597	3.175727505783928	0.6257520763709323	0.5218605860163484	0.6572818258348143	
HSPG2	0.8919128717737816	5.108891361942317	0.0754344969716546	0.22351124871168243	0.1100926012533907	
LINC00339	0.8826831284011111	5.28807490957191	0.09863444049713614	0.25236793849418654	0.14198858853241045	
CDC42	0.408339202938067	2.4147343602846143	1.2460053666608844	0.5339596512418822	0.9239547282761201	I
ZBTB40	0.8129049285388447	4.681591525331225	0.1576856156840989	0.31907772390976885	0.21419885885324105	
KDM1A	0.4530962989198253	2.6378951866201352	1.039191650855818	0.5585152375800798	0.8610045832943597	
LUZP1	0.7410035017539771	4.4593047027188115	0.26681035322025487	0.3972324291346844	0.34215695444766625	
LINC01355	0.8910400502133264	5.20821568040224	0.06782085178693469	0.2131864816292338	0.09868113366382938	
HNRNPR	0.4095337855478366	2.2625580377853196	1.7980015759254284	0.4832479363421115	0.9827892619960714	I
E2F2	0.8767496818351965	5.102653214881652	0.09001786063747903	0.2502429524804655	0.12337480123468338	
RPL11	0.15267183346508095	2.2135105483232347	3.909113417685133	0.24092081522171696	0.9998129267608269	
ELOA-AS1	0.8742259618657788	5.0679063267017295	0.08915211787496975	0.24280604582919282	0.12805163221401178	
ELOA	0.5792205835684288	3.836206055735257	0.4868507995173695	0.4855045825680881	0.5568234963988401	
PITHD1	0.4744121569454051	2.8025063666559666	0.8264205979565767	0.5443619360725357	0.7742961369376111	
LYPLA2	0.6999529419488801	4.422959447463417	0.3036485507234736	0.41244860856461235	0.3874286783275652	
GALE	0.7926150340308168	4.657339571936628	0.20306660815272962	0.35173700530021884	0.2730333925731924	
HMGCL	0.8666318706414852	4.9959513361517365	0.08775858725417338	0.24252190526292752	0.1250584603872416	
FUCA1	0.7963523567995614	4.797523324673068	0.15650652584133692	0.3157325334869802	0.2143859320924142	
PNRC2	0.46997613696017754	2.769610548984968	0.8817128950894793	0.5513550482012987	0.7980544383125994	
SRSF10	0.4159655523109327	2.363965406372604	1.40111140278192	0.5066534343715255	0.954073519782995	I
NIPAL3	0.8751384443969604	5.005023471714137	0.08102334608748463	0.2339914695552323	0.11561126180899822	
SRRM1	0.41318114460789984	2.3416078212534375	1.397735760810482	0.5142100237868669	0.9518286409129174	
CLIC4	0.7972688109887938	4.599733601469346	0.17676877132761104	0.33622520599867983	0.23702179403236368	
SYF2	0.6067275788260444	4.002340031793405	0.4150802644631453	0.4770154449728295	0.4847067626975961	I
RSRP1	0.5221719645292635	3.3773669134053548	0.5418738302343654	0.5148786233201694	0.5932092414180151	
TMEM50A	0.447839579723697	2.6954674971303643	0.9081282700294578	0.5485060734473489	0.8148910298381816	
MACO1	0.6877895633186442	4.390443840262167	0.31789227903099854	0.42386353348697964	0.3973435600037415	
LDLRAP1	0.8798260640202173	5.075550312101438	0.0836581287391156	0.23529050612794133	0.12094284912543261	
MTFR1L	0.7799968106112841	4.669962778215814	0.22400950140806788	0.36424173372369906	0.29959779253577773	
AUNIP	0.800176863512315	4.797750579090269	0.1960438840925619	0.3439769701802064	0.26648582920213265	
STMN1	0.31653856442094735	2.2772239487771104	2.1983862917632457	0.4725879140651333	0.9946684126835657	
PDIK1L	0.8661572143971421	5.025726041939078	0.09980678667784919	0.25593268959032256	0.14245627163034327	
ZNF593	0.4693174919256519	2.537216775053586	1.1119143801141327	0.558002185813472	0.8770928818632494	
CEP85	0.7588436166787155	4.643203828982233	0.2486472056224478	0.3798018977391621	0.32784585165092134	I
SH3BGRL3	0.49357618123393515	3.006318379551394	0.5910267852451725	0.6021256340445506	0.5846038724160508	
UBXN11	0.8591204840502474	4.802806550579844	0.08072665974346835	0.2325965322189462	0.1168272378636236	
DHDDS	0.8428790953305217	4.937115096363377	0.14983544927911024	0.3087610985113072	0.20624824618838275	I
HMGN2	0.35868624677044175	2.21559626295307	1.9682281240178803	0.49688578587786525	0.9864371901599476	I
RPS6KA1	0.8432089489922887	4.8843022047481215	0.12642728672496228	0.285203645331664	0.17800018707323917	
ARID1A	0.48271461878054533	2.8911923340327026	0.7645492980443837	0.5435654410121065	0.7395940510709943	
